gvkey,LINKPRIM,LINKTYPE,LPERMNO,LINKDT,LINKENDDT
1066,C,LC,55335,19840131,19861204
1067,C,NR,,19591001,19620701
1067,P,NR,,19841228,19850131
1067,C,LC,28652,19620702,19660130
1067,P,LC,28652,19660131,19840130
1067,P,LD,28652,19840131,19841227
1068,C,NU,,19740101,19861231
1069,C,NU,,19810401,19831017
1069,C,NU,,19841017,19990930
1069,C,LU,10480,19831018,19841016
1070,C,LC,21549,19680101,19680130
1070,P,LC,21549,19680131,19810430
1071,C,NU,,19650701,19690930
1072,C,NR,,19900119,19950814
1072,C,LC,56899,19730101,19730329
1072,C,LC,56899,19730330,19900118
1072,C,LC,81912,19950815,20200327
1073,C,NU,,19800101,19810308
1073,C,NU,,19960829,20050429
1073,C,LU,10496,19810309,19960828
1074,C,NU,,19650101,19690227
1074,P,NU,,19690228,19691203
1074,P,LU,49648,19691204,19821231
1075,C,NU,,19510101,19620130
1075,P,LU,27991,19620131,E
1076,C,NR,,19810401,19821103
1076,J,NR,,20101211,20110131
1076,P,LC,10517,19821104,19921231
1076,J,LC,10517,19930101,20101130
1076,P,LC,10517,20101201,E
1076,N,LC,78049,19921103,19921231
1076,P,LC,78049,19930101,20101130
1076,J,LC,78049,20101201,20101210
1077,C,LU,10525,19730701,19790130
1077,P,LU,10525,19790131,19800930
1078,C,LC,20482,19500101,19620130
1078,P,LC,20482,19620131,E
1079,C,NR,,19600301,19601231
1079,C,LC,10541,19610101,19690130
1079,P,LC,10541,19690131,19760930
1080,C,LU,28660,19621001,19631230
1080,P,LU,28660,19631231,19760430
1081,C,NR,,19600101,19740130
1081,P,NR,,19740131,19870715
1081,N,NR,,19820129,19870715
1081,C,NR,,20071027,20071130
1081,P,LC,10560,19870716,20071026
1081,N,LX,10560,19870716,20071026
1082,C,NU,,19770501,19770530
1082,P,NR,,19770531,19820628
1082,P,LC,10568,19820629,20110831
1083,C,NR,,19721101,19771229
1083,C,NR,,19800201,19810830
1083,C,NR,,19880407,19921030
1083,C,LC,44231,19771230,19800131
1083,C,LC,44231,19810831,19880406
1084,C,NU,,19731001,19810129
1084,C,NU,,19810130,E
1085,C,NU,,19700101,19841231
1086,C,NU,,19740101,19910627
1086,C,NU,,19940224,20061031
1086,C,LU,76876,19910628,19940223
1087,P,LU,10584,19810303,19831130
1088,C,NR,,19751101,19780920
1088,P,LC,10592,19780921,19860205
1089,C,NR,,19710101,19710128
1089,P,NR,,19710129,19721213
1089,P,LC,10613,19721214,19791130
1090,C,NU,,19740101,19980430
1091,C,NU,,19770401,19830210
1091,P,LU,64688,19830211,19870731
1092,C,NU,,19781001,19810812
1092,P,LU,10621,19810813,19830429
1093,C,NR,,19660501,19690629
1093,P,NR,,19690630,19721213
1093,P,LC,10640,19721214,19870331
1094,C,NR,,19620701,19700929
1094,P,NR,,19700930,19721213
1094,P,LC,10656,19721214,20191002
1095,C,NR,,19800101,19890906
1095,P,LC,10123,19890907,20020614
1096,C,NU,,19611201,19820128
1096,C,NU,,19820129,20120830
1096,P,NR,,20120831,E
1096,N,NU,,20120831,E
1097,C,NR,,19710101,19711129
1097,P,NR,,19711130,19721213
1097,N,NR,,19950902,E
1097,P,NR,,20041204,E
1097,P,LC,10664,19721214,19940930
1097,N,LC,10664,19941001,19950901
1097,J,LC,11647,19870930,19940930
1097,P,LC,11647,19941001,20041203
1098,C,NR,,19670131,19671231
1098,C,LC,10057,19680101,19960702
1099,C,NR,,19590701,19620730
1099,P,NR,,19620731,19721213
1099,P,LC,63837,19721214,20001130
1100,C,NR,,19671101,19690629
1100,P,NR,,19690630,19721213
1100,P,LC,10672,19721214,19850628
1101,P,LU,28679,19730131,19780131
1102,C,NU,,19590801,19701030
1103,C,NU,,19600101,19660130
1103,C,NU,,19880714,20041029
1103,C,LU,28695,19660131,19880713
1104,C,NU,,19680101,19690227
1104,P,NU,,19690228,19721213
1104,P,LU,60038,19721214,E
1105,C,NU,,19661101,19741231
1106,C,NU,,19730401,19780330
1106,C,NU,,19780331,19820127
1106,C,LU,10699,19820128,19861031
1107,C,NU,,19760101,20021231
1108,C,NR,,19680701,19700830
1108,C,NR,,19700831,19701110
1108,C,NR,,19961019,E
1108,C,LC,51510,19701111,19961018
1109,C,NR,,19830501,19841211
1109,C,NR,,19851227,19860921
1109,C,NR,,20090425,E
1109,C,LC,85084,19841212,19851226
1109,C,LC,85084,19860922,20090424
1110,C,NU,,19680101,19761231
1111,C,NR,,19820401,19830608
1111,C,NR,,19910329,19931021
1111,C,LC,10701,19830609,19850530
1111,C,LC,10701,19850531,19910328
1111,C,LC,79678,19931022,20080709
1112,C,NU,,19790101,19831121
1112,P,LU,10720,19831122,19890731
1113,C,NR,,19610101,19660428
1113,C,NR,,19660429,19661121
1113,C,NR,,19880430,19880930
1113,C,LC,43967,19661122,19880429
1114,C,NR,,19620101,19620130
1114,P,NR,,19620131,19721213
1114,P,LC,10728,19721214,19760528
1115,C,NU,,19781001,19791204
1115,P,LU,10752,19791205,20001229
1116,C,NU,,19740401,19790130
1116,C,NU,,19790131,20040630
1117,C,NR,,19730401,19781002
1117,P,NR,,20030508,20051013
1117,P,LC,10779,19781003,20030507
1117,P,LC,10779,20051014,E
1118,C,NU,,19720101,19721219
1118,P,LU,57306,19721220,19841130
1119,C,LU,10065,19820101,19820128
1119,P,LU,10065,19820129,E
1120,C,LU,17224,19500101,19620130
1120,P,LU,17224,19620131,19881031
1121,C,NU,,19740401,19750206
1121,P,LU,61487,19750207,E
1122,C,NR,,19621001,19680130
1122,P,NR,,19680131,19690204
1122,P,LC,47650,19690205,19871231
1123,C,NU,,19800801,19850428
1123,C,NU,,19861220,20011130
1123,C,LU,85105,19850429,19861219
1124,C,NU,,19611201,19620130
1124,P,NU,,19620131,19721213
1124,J,NU,,19820129,19880531
1124,P,NU,,19880325,19880531
1124,P,LU,10787,19721214,19880324
1125,C,NU,,19800801,19840425
1125,C,NU,,19850831,19910430
1125,P,LU,10795,19840426,19850830
1126,C,NU,,19900620,E
1126,C,LU,10808,19730601,19780130
1126,C,LU,10808,19780131,19900619
1127,C,NU,,19760701,19980429
1127,C,NU,,19980430,20000428
1128,C,NU,,19830101,19841001
1128,P,LU,85113,19841002,19950131
1129,C,NU,,19790701,19811209
1129,P,LU,10816,19811210,19830831
1130,C,NU,,19801201,19840614
1130,C,NU,,19870611,19880930
1130,C,LU,10824,19840615,19870610
1131,C,NU,,19610101,19700929
1131,P,NU,,19700930,19721213
1131,P,LU,10832,19721214,19730731
1132,C,NU,,19661001,19710930
1133,C,LU,22488,19500101,19620130
1133,P,LU,22488,19620131,19740430
1134,C,LC,10859,19730101,19780130
1134,P,LC,10859,19780131,19781003
1135,C,NR,,19700101,19720130
1135,P,NU,,19720131,19731125
1135,P,LU,57461,19731126,19851129
1136,C,NU,,19660101,19710225
1136,C,NU,,19710226,E
1137,C,NU,,19730901,19801204
1137,P,LU,10867,19801205,19951031
1138,C,NU,,19620101,19680130
1138,P,NU,,19680131,19721213
1138,P,LU,10875,19721214,19960131
1139,C,LU,10891,19730201,19780130
1139,P,LU,10891,19780131,19810831
1140,C,NU,,19810101,19840125
1140,C,NU,,19861028,20060131
1140,C,LU,10904,19840126,19861027
1141,C,NU,,19910704,20050331
1141,C,LU,10912,19730401,19780130
1141,C,LU,10912,19780131,19910703
1142,C,NU,,19800801,19820128
1142,C,NU,,19861001,19900731
1142,P,LU,46624,19820129,19860930
1143,C,NU,,19811101,19840509
1143,C,NU,,19850330,19900731
1143,P,LU,78523,19840510,19850329
1144,C,NU,,19760101,19810129
1144,C,NU,,19810130,19840629
1144,C,NU,,19840630,19860331
1145,C,LU,65840,19761101,19800730
1145,P,LU,65840,19800731,19871231
1146,C,NU,,19710401,19721129
1146,P,NU,,19721130,19721213
1146,P,NU,,19810415,19821231
1146,P,LU,10971,19721214,19810414
1147,C,NU,,19740101,19790130
1147,P,NU,,19871024,19880129
1147,P,LU,10990,19790131,19871023
1148,C,NU,,19801001,19801120
1148,P,LU,64514,19801121,20010228
1149,C,NU,,19600101,19811231
1150,C,NU,,19600101,19660428
1150,P,LU,28716,19660429,19841130
1151,C,NU,,19830501,19840321
1151,P,LU,10998,19840322,19961231
1152,C,NU,,19601001,19720929
1153,C,NU,,19600101,19620130
1153,P,NU,,19620131,19620701
1153,P,LU,28724,19620702,19830131
1154,C,NU,,19750501,19850509
1154,P,NU,,20031224,20060131
1154,P,LU,85164,19850510,20031223
1155,C,NU,,19730301,19750629
1155,C,NU,,19930731,20030530
1155,C,LU,11010,19750630,19930730
1156,C,NU,,19670101,19671228
1156,P,NU,,19671229,19681016
1156,C,NU,,19750701,19751231
1156,P,LU,46973,19681017,19750630
1157,C,NU,,19490801,19620130
1157,P,NU,,19620131,19620701
1157,P,LU,28732,19620702,19721031
1158,C,NU,,19641001,19700929
1158,C,NU,,19700930,19710129
1159,C,NU,,19600101,19660130
1159,P,NU,,19860906,19861031
1159,P,LU,28740,19660131,19860905
1160,C,NU,,19670701,19680628
1161,C,NU,,19720401,19721030
1161,P,NU,,19721031,19721213
1161,P,LU,61241,19721214,E
1162,C,NU,,19740101,19781005
1162,P,LU,11026,19781006,19851129
1163,C,NU,,19880322,20080331
1163,C,LU,11034,19820129,19880321
1164,C,NR,,19740101,19801123
1164,P,NR,,19860729,19860821
1164,J,NR,,19991029,20000131
1164,P,NR,,20020730,20040331
1164,J,NR,,20040401,20040430
1164,P,NR,,20040430,20040713
1164,P,LC,11042,19801124,19860728
1164,P,LC,11042,19860822,20020729
1164,P,LC,90284,20040714,20060106
1165,C,NR,,19791001,19810413
1165,C,NR,,19880428,E
1165,C,LC,11069,19810414,19880427
1166,C,NR,,19810101,19810511
1166,P,NR,,20150821,E
1166,P,LC,11077,19810512,20150820
1167,C,NU,,19800201,19820103
1167,P,LU,11085,19820104,19821029
1168,C,NR,,19790701,20070130
1168,C,NR,,20070131,20080131
1169,C,NR,,19800101,19830921
1169,P,NR,,19881123,19881230
1169,P,LC,11114,19830922,19881122
1170,C,NR,,19830701,19831220
1170,C,LC,11149,19831221,19840130
1170,P,LC,11149,19840131,19850730
1171,C,NR,,19840401,19850730
1171,P,LC,11149,19850731,19921204
1172,C,NR,,19810901,19830623
1172,C,NR,,19850930,19860709
1172,C,LC,15916,19830624,19850929
1172,C,LC,15916,19860710,19861231
1173,C,LU,11157,19730201,19750227
1173,C,LU,11157,19750228,20130628
1174,C,NR,,19600601,19650729
1174,C,NR,,19650730,19721213
1174,C,LC,11165,19721214,19791231
1175,C,NU,,19600101,19660428
1175,P,NU,,19660429,19670502
1175,P,LU,44396,19670503,19730531
1176,C,NU,,19760101,19791231
1177,C,NR,,19590101,19620130
