gvkey,fyear,Size,Leverage,MB,ATM_IV,IV_Skew,n_obs
001004,2017,7.346950438727359,0.11621958418049451,1.657009548221724,0.29626384,0.056061987,231
001004,2018,6.953465390369472,0.09339572897442658,1.1555038304448615,0.33996698,0.03802857,204
001045,2017,10.116204181541502,0.4379912833683555,6.301752735608763,0.31258574,0.03606448,231
001045,2018,9.601721377096021,0.48004291845493563,-87.51608999999999,0.37236354,0.017465184,230
001050,2017,5.178091913116211,0.25318949535855745,0.9505550225385782,0.4583418,0.06772723,98
001062,2017,5.362252521321727,0.0,0.8730667807798461,0.31298378,0.06437824,149
001072,2017,7.932930083489717,0.0,1.2425467016545548,0.2601814,0.03907164,190
001072,2018,7.98188457008911,0.0,1.2278615037455227,0.30923522,0.05431771,190
001075,2017,9.161048794920317,0.2814319244716019,1.901263181862668,0.1546648,0.025107192,229
001075,2018,9.164410604967435,0.26257806607963385,1.8286896110696802,0.16843861,0.037070595,222
001076,2017,7.933889039026941,0.10088386577245026,1.6147284091934972,0.38711914,0.044634197,231
001076,2018,7.9462945103607945,0.12062651325294727,1.6045177280957432,0.37102094,0.0571667,230
001078,2017,11.507986951964272,0.35685245901639345,3.220615792471761,0.1832898,0.024067769,231
001078,2018,11.751815761127528,0.2881961502389353,4.160133739680251,0.20044674,0.03208372,230
001094,2017,6.141934819680441,0.32672404243944964,1.1478404807105984,0.4026636,0.045701377,179
001094,2018,4.636052868794468,0.39492375727487017,1.082399643175736,0.5720258,0.07916211,93
001161,2017,9.204398755480314,0.3742937853107345,16.269656301145663,0.5397862,0.0057146326,231
001161,2018,9.828349049567882,0.24451273046532046,14.6542654028436,0.57864076,0.017394958,230
001177,2017,10.984469536705435,0.14795742597595693,3.783790243902439,0.19370858,0.02926962,231
001186,2017,9.280361181620297,0.17465493100908627,2.168046192119614,0.31751624,0.006093752,231
001186,2018,9.15611051748184,0.219195519380688,2.081784311777639,0.31439662,0.0075639756,230
001209,2017,10.40481669068162,0.18424016634898632,3.2736096964168864,0.1659265,0.0387678,232
001209,2018,10.509718291599928,0.17476522945203693,3.377402514390974,0.18869986,0.027529843,230
001230,2017,9.110101618782664,0.2106145251396648,2.431124458478904,0.28282616,0.019595057,231
001230,2018,8.922172168048307,0.14818548387096775,1.9984950413223141,0.29553133,0.022272585,230
001254,2017,7.145353851265932,0.36765294771968854,1.8699498672957828,0.36932495,0.051553495,220
001254,2018,7.220559627803148,0.3350477287689269,1.8102131603336422,0.3541258,0.043635346,224
001274,2017,9.12417458537421,0.05849663002553899,1.07756087663434,0.17814341,0.015288032,212
001274,2018,9.11450497466929,0.06585306169731373,1.1811358597945327,0.19428709,0.031304948,229
001300,2017,11.654060585843228,0.21171300116187045,6.665780504746469,0.162122,0.030481854,231
001300,2018,11.476207039282711,0.16886781022276842,5.302241584158415,0.18458803,0.03598226,226
001327,2017,9.834024391909145,0.0,4.58909658853334,0.3136041,0.027182596,232
001327,2018,9.686074674502333,0.0,3.9277407859409323,0.3336023,0.027389592,230
001380,2017,9.61284198526809,0.27678262374524054,1.3534491746606336,0.34104994,0.022797553,231
001380,2018,9.37611897047568,0.30816964494004573,1.2259158184461987,0.3662775,0.03171868,230
001410,2017,7.919051020464565,0.30459528930388713,1.998372399505706,0.22057742,0.060111325,173
001410,2018,7.615605340503085,0.24865609924190213,1.3953134882441909,0.3099363,0.054120976,192
001414,2017,8.410429258095037,0.08905348277701507,3.1665745073817853,0.24773957,0.039671503,231
